id,image,label_auto,overlay,base_code,color,side,group,width,height,verdict,confidence,coverage,ensemble_iou,holes,solidity,latency_ms,occurrences,used_by_bases,source_path,md5,reason,review_status,reviewer_note,label_final,split
001_EUACCM_black_back,images/001_EUACCM_black_back.jpg,labels_auto/001_EUACCM_black_back.png,overlays/001_EUACCM_black_back.jpg,EUACCM,black,back,EUACCM_back,1200,1200,READY,0.9789,0.37821,0.9899,2,0.9833,1982.4,2,EUACCM EUMM,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCM/black-back-model.jpg,9b21023732a76ac6ed7b32a1c2c97d21,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/001_EUACCM_black_back.png,train
002_EUACCM_black_front,images/002_EUACCM_black_front.jpg,labels_auto/002_EUACCM_black_front.png,overlays/002_EUACCM_black_front.jpg,EUACCM,black,front,EUACCM_front,1200,1200,READY,0.9774,0.26749,0.9913,1,0.9835,2159.6,2,EUACCM EUMM,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCM/black-front-model.jpg,395a39c07c7841738b1a127150b9a3f6,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/002_EUACCM_black_front.png,val
003_EUACCM_gold_back,images/003_EUACCM_gold_back.jpg,labels_auto/003_EUACCM_gold_back.png,overlays/003_EUACCM_gold_back.jpg,EUACCM,gold,back,EUACCM_back,1200,1200,READY,0.9798,0.37786,0.9932,2,0.9832,1622.0,2,EUACCM UKTAM11,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCM/gold-back-model.jpg,5100a632973fe128ebce3fd3e50bf95b,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/003_EUACCM_gold_back.png,train
004_EUACCM_gold_front,images/004_EUACCM_gold_front.jpg,labels_auto/004_EUACCM_gold_front.png,overlays/004_EUACCM_gold_front.jpg,EUACCM,gold,front,EUACCM_front,1200,1200,READY,0.9807,0.2753,0.9964,1,0.9835,2145.3,2,EUACCM UKTAM11,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCM/gold-front-model.jpg,46bbf0b39a9d1fcdc51937f98ed92382,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/004_EUACCM_gold_front.png,val
005_EUACCM_white_back,images/005_EUACCM_white_back.jpg,labels_auto/005_EUACCM_white_back.png,overlays/005_EUACCM_white_back.jpg,EUACCM,white,back,EUACCM_back,1200,1200,READY,0.9593,0.37823,0.9123,2,0.9831,1629.1,3,EUACCM UKTAM11 UKTCM11,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCM/white-back-model.jpg,331af4264bdbb97b6e0d414406b07993,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/005_EUACCM_white_back.png,train
006_EUACCM_white_front,images/006_EUACCM_white_front.jpg,labels_auto/006_EUACCM_white_front.png,overlays/006_EUACCM_white_front.jpg,EUACCM,white,front,EUACCM_front,1200,1200,READY,0.9607,0.26669,0.9127,1,0.9833,2151.9,5,EUACCM UKTAM11 UKTCM11 USACM11 USACM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCM/white-front-model.jpg,97eb63f6f137d03094f98fbbc28ca002,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/006_EUACCM_white_front.png,val
007_EUACCMH_black_back,images/007_EUACCMH_black_back.jpg,labels_auto/007_EUACCMH_black_back.png,overlays/007_EUACCMH_black_back.jpg,EUACCMH,black,back,EUACCMH_back,1200,1200,READY,0.9713,0.37851,0.985,2,0.9832,1645.9,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/black-back-model.jpg,0332eeaad8766b2c74f220d29eb1d38b,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/007_EUACCMH_black_back.png,train
008_EUACCMH_black_front,images/008_EUACCMH_black_front.jpg,labels_auto/008_EUACCMH_black_front.png,overlays/008_EUACCMH_black_front.jpg,EUACCMH,black,front,EUACCMH_front,1200,1200,READY,0.9609,0.26692,0.9127,1,0.9834,2102.1,4,EUACCMH UKTAM11 USAAM11 USAAM11UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/black-front-model.jpg,cd3431e80832c036f317436c3ece01a6,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/008_EUACCMH_black_front.png,val
009_EUACCMH_blue_back,images/009_EUACCMH_blue_back.jpg,labels_auto/009_EUACCMH_blue_back.png,overlays/009_EUACCMH_blue_back.jpg,EUACCMH,blue,back,EUACCMH_back,1200,1200,READY,0.9608,0.37842,0.9124,2,0.9832,1666.9,9,EUACCMH UKTAM11 USAAM11 USAAM11UL USAAM15UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/blue-back-model.jpg,15d198af4e835c712773b958b874464a,"Photo contains 2 products of comparable size - read as a multi-item composition, not a fragmented mask.",accept,,labels/009_EUACCMH_blue_back.png,train
010_EUACCMH_blue_front,images/010_EUACCMH_blue_front.jpg,labels_auto/010_EUACCMH_blue_front.png,overlays/010_EUACCMH_blue_front.jpg,EUACCMH,blue,front,EUACCMH_front,1200,1200,READY,0.961,0.26685,0.9136,1,0.9835,2089.8,9,EUACCMH UKTAM11 USAAM11 USAAM11UL USAAM15UL,D:/TTTN/mockupgenerator/src/main/resources/mask/EUACCMH/blue-front-model.jpg,7bfd46b37387e97f4533eee4200e6c7d,"Clean single-piece mask, edges align with the source image, models agree.",accept,,labels/010_EUACCMH_blue_front.png,val
