file,ground_truth,category,width,height,coverage
01_tee_flatlay_white.png,ground_truth/01_tee_flatlay_white_gt.png,apparel,1200,1500,0.354
02_tee_flatlay_black.png,ground_truth/02_tee_flatlay_black_gt.png,apparel,1200,1500,0.354
03_tee_on_model_hair.png,ground_truth/03_tee_on_model_hair_gt.png,apparel,1200,1600,0.2449
04_hoodie_folds.png,ground_truth/04_hoodie_folds_gt.png,apparel,1300,1500,0.3798
05_tote_two_handles.png,ground_truth/05_tote_two_handles_gt.png,apparel,1200,1400,0.2138
06_tee_hanger_busy_wall.png,ground_truth/06_tee_hanger_busy_wall_gt.png,apparel,1100,1500,0.266
07_tee_hard_flash_shadow.png,ground_truth/07_tee_hard_flash_shadow_gt.png,apparel,1200,1400,0.3371
08_mug_white_on_white.png,ground_truth/08_mug_white_on_white_gt.png,drinkware,1100,1300,0.1622
09_mug_dark_cluttered_desk.png,ground_truth/09_mug_dark_cluttered_desk_gt.png,drinkware,1500,1200,0.1123
10_tumbler_no_handle.png,ground_truth/10_tumbler_no_handle_gt.png,drinkware,1000,1500,0.1899
11_bottle_translucent.png,ground_truth/11_bottle_translucent_gt.png,drinkware,1000,1600,0.1558
12_canvas_straight.png,ground_truth/12_canvas_straight_gt.png,wall_art,1500,1200,0.3354
13_canvas_perspective.png,ground_truth/13_canvas_perspective_gt.png,wall_art,1600,1200,0.3263
14_framed_print.png,ground_truth/14_framed_print_gt.png,wall_art,1100,1400,0.3583
15_poster_dark_clipped.png,ground_truth/15_poster_dark_clipped_gt.png,wall_art,1000,1200,0.5422
16_phone_case.png,ground_truth/16_phone_case_gt.png,accessory,1000,1400,0.2455
17_cap.png,ground_truth/17_cap_gt.png,accessory,1400,1100,0.1022
18_mousepad_on_desk.png,ground_truth/18_mousepad_on_desk_gt.png,accessory,1600,900,0.4115
19_cushion.png,ground_truth/19_cushion_gt.png,accessory,1300,1200,0.4085
