id,source,status,verdict,confidence,category,category_source,width,height,model,total_ms,coverage,edge_sharpness,ensemble_iou,holes,solidity,border_contact,print_area_kind,print_area_confidence,mask_file,reasons,error
001_01_tee_flatlay_white,01_tee_flatlay_white.png,ok,READY,0.9419,apparel,metadata,1200,1500,birefnet,6632.58,0.35423,1.0,0.9869,0,0.7825,0.0,torso,0.9679,/artifacts/deliv_3bedec0d51ab/001_01_tee_flatlay_white_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
002_02_tee_flatlay_black,02_tee_flatlay_black.png,ok,READY,0.9882,apparel,metadata,1200,1500,birefnet,5848.11,0.35403,1.0,0.9954,0,0.7831,0.0,torso,0.9679,/artifacts/deliv_3bedec0d51ab/002_02_tee_flatlay_black_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
003_03_tee_on_model_hair,03_tee_on_model_hair.png,ok,REVIEW,0.8563,apparel,metadata,1200,1600,birefnet,6109.42,0.31129,1.0,0.9246,0,0.8341,0.0,torso,0.4764,/artifacts/deliv_3bedec0d51ab/003_03_tee_on_model_hair_mask.png,"Cross-check model disagrees (IoU 0.92, agreement score 0.77) - ambiguous product boundary. | Highly complex outline (hair / fringe / fine detail) - human spot-check recommended.",
004_04_hoodie_folds,04_hoodie_folds.png,ok,READY,0.9605,apparel,metadata,1300,1500,birefnet,6082.26,0.38253,1.0,0.938,0,0.7748,0.0454,torso,0.971,/artifacts/deliv_3bedec0d51ab/004_04_hoodie_folds_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
005_05_tote_two_handles,05_tote_two_handles.png,ok,READY,0.9467,apparel,metadata,1200,1400,birefnet,5180.7,0.21402,1.0,0.9731,2,0.9433,0.0,torso,0.8878,/artifacts/deliv_3bedec0d51ab/005_05_tote_two_handles_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
006_06_tee_hanger_busy_wall,06_tee_hanger_busy_wall.png,ok,READY,0.9816,apparel,metadata,1100,1500,birefnet,5286.78,0.26848,1.0,0.9764,0,0.8158,0.0,torso,0.9157,/artifacts/deliv_3bedec0d51ab/006_06_tee_hanger_busy_wall_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
007_07_tee_hard_flash_shadow,07_tee_hard_flash_shadow.png,ok,READY,0.9353,apparel,metadata,1200,1400,birefnet,5095.69,0.33698,1.0,0.9761,0,0.7832,0.0,torso,0.9685,/artifacts/deliv_3bedec0d51ab/007_07_tee_hard_flash_shadow_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
008_08_mug_white_on_white,08_mug_white_on_white.png,ok,READY,0.9688,drinkware,metadata,1100,1300,birefnet,4032.88,0.16217,1.0,0.9838,1,0.9707,0.0,cylinder,0.6797,/artifacts/deliv_3bedec0d51ab/008_08_mug_white_on_white_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
009_09_mug_dark_cluttered_desk,09_mug_dark_cluttered_desk.png,ok,REVIEW,0.8306,drinkware,metadata,1500,1200,birefnet,4829.22,0.31202,1.0,0.5153,1,0.8084,0.0956,quad,0.5934,/artifacts/deliv_3bedec0d51ab/009_09_mug_dark_cluttered_desk_mask.png,"Cross-check model disagrees (IoU 0.52, agreement score 0.54) - ambiguous product boundary. | Mask is split into 2 separate pieces. | Silhouette is atypical for drinkware (bbox fill 0.4958, aspect 1.633) - the mask may include a neighbouring object. | Product is cropped by the frame on 10% of the border. | Highly complex outline (hair / fringe / fine detail) - human spot-check recommended.",
010_10_tumbler_no_handle,10_tumbler_no_handle.png,ok,READY,0.9951,drinkware,metadata,1000,1500,birefnet,4725.25,0.18993,1.0,0.9942,0,0.9959,0.0,cylinder,0.6817,/artifacts/deliv_3bedec0d51ab/010_10_tumbler_no_handle_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
011_11_bottle_translucent,11_bottle_translucent.png,ok,READY,0.9361,drinkware,metadata,1000,1600,birefnet,4255.57,0.1558,1.0,0.9835,0,0.9299,0.0,cylinder,0.6668,/artifacts/deliv_3bedec0d51ab/011_11_bottle_translucent_mask.png,"Clean single-piece mask, edges align with the source image, models agree.",
